t,t_norm,snr_linear,snr_cosine,snr_cosine_match_linear
318,0.3183183183183183,0.5428906083106995,3.2045884132385254,4.0769124031066895
319,0.31931931931931934,0.537503182888031,3.181230306625366,4.047932147979736
320,0.3203203203203203,0.5321711897850037,3.158088207244873,4.019218921661377
321,0.3213213213213213,0.5268941521644592,3.1351547241210938,3.9907636642456055
322,0.32232232232232233,0.5216712951660156,3.112431764602661,3.962569236755371
323,0.3233233233233233,0.5165020227432251,3.0899150371551514,3.934629201889038
324,0.32432432432432434,0.5113857388496399,3.0676043033599854,3.906944513320923
325,0.3253253253253253,0.5063217282295227,3.045492649078369,3.879507541656494
326,0.3263263263263263,0.5013093948364258,3.0235824584960938,3.852318525314331
327,0.32732732732732733,0.49634820222854614,3.00186824798584,3.8253707885742188
328,0.3283283283283283,0.4914374351501465,2.9803473949432373,3.7986631393432617
329,0.32932932932932935,0.48657646775245667,2.9590203762054443,3.772195339202881
330,0.3303303303303303,0.48176485300064087,2.9378838539123535,3.7459628582000732
331,0.33133133133133136,0.4770020544528961,2.9169349670410156,3.719964027404785
332,0.33233233233233234,0.4722873270511627,2.896171808242798,3.6941933631896973
333,0.3333333333333333,0.4676201641559601,2.8755908012390137,3.6686480045318604
334,0.33433433433433435,0.4630000591278076,2.8551926612854004,3.643328905105591
335,0.3353353353353353,0.45842647552490234,2.834972858428955,3.6182310581207275
336,0.33633633633633636,0.4538988173007965,2.8149311542510986,3.593351364135742
337,0.33733733733733734,0.4494166672229767,2.7950632572174072,3.5686886310577393
338,0.3383383383383383,0.44497933983802795,2.7753701210021973,3.544241189956665
339,0.33933933933933935,0.4405864179134369,2.755847215652466,3.5200042724609375
340,0.34034034034034033,0.4362374544143677,2.7364931106567383,3.495976209640503
341,0.34134134134134136,0.43193188309669495,2.717305898666382,3.4721555709838867
342,0.34234234234234234,0.42766910791397095,2.6982860565185547,3.448540210723877
343,0.3433433433433433,0.4234488904476166,2.6794278621673584,3.425126314163208
344,0.34434434434434436,0.41927051544189453,2.6607322692871094,3.4019112586975098
345,0.34534534534534533,0.41513365507125854,2.6421961784362793,3.3788952827453613
346,0.34634634634634637,0.41103777289390564,2.623817205429077,3.3560733795166016
347,0.34734734734734735,0.4069824516773224,2.605595827102661,3.3334455490112305
348,0.3483483483483483,0.402967244386673,2.5875275135040283,3.3110084533691406
349,0.34934934934934936,0.3989916145801544,2.5696136951446533,3.2887606620788574
350,0.35035035035035034,0.39505526423454285,2.5518505573272705,3.266700267791748
351,0.35135135135135137,0.3911576569080353,2.5342366695404053,3.2448248863220215
352,0.35235235235235235,0.38729843497276306,2.516770124435425,3.2231311798095703
353,0.3533533533533533,0.3834770917892456,2.4994497299194336,3.201617956161499
354,0.35435435435435436,0.3796933591365814,2.4822752475738525,3.180284261703491
355,0.35535535535535534,0.37594664096832275,2.465240716934204,3.1591250896453857
356,0.3563563563563564,0.37223660945892334,2.4483513832092285,3.1381442546844482
357,0.35735735735735735,0.3685629665851593,2.4316000938415527,3.117335557937622
358,0.35835835835835833,0.3649251163005829,2.4149868488311768,3.0966970920562744
359,0.35935935935935936,0.361322820186615,2.398510456085205,3.0762269496917725
360,0.36036036036036034,0.3577556610107422,2.382169723510742,3.055924892425537
361,0.3613613613613614,0.3542233407497406,2.365962505340576,3.0357882976531982
362,0.36236236236236236,0.35072532296180725,2.3498878479003906,3.0158159732818604
363,0.3633633633633634,0.34726130962371826,2.33394455909729,2.9960062503814697
364,0.36436436436436437,0.343830943107605,2.318129539489746,2.9763541221618652
365,0.36536536536536535,0.34043386578559875,2.3024442195892334,2.956862688064575
366,0.3663663663663664,0.33706972002983093,2.286886692047119,2.9375288486480713
367,0.36736736736736736,0.3337382376194,2.271453857421875,2.918349266052246
368,0.3683683683683684,0.3304389417171478,2.2561450004577637,2.8993232250213623
369,0.36936936936936937,0.32717153429985046,2.2409582138061523,2.8804476261138916
370,0.37037037037037035,0.32393568754196167,2.2258944511413574,2.861724615097046
371,0.3713713713713714,0.32073113322257996,2.2109503746032715,2.843148708343506
372,0.37237237237237236,0.3175574541091919,2.1961259841918945,2.824721097946167
373,0.3733733733733734,0.3144143521785736,2.1814184188842773,2.806438446044922
374,0.3743743743743744,0.3113015294075012,2.1668288707733154,2.7883012294769287
375,0.37537537537537535,0.30821865797042847,2.152355194091797,2.7703075408935547
376,0.3763763763763764,0.3051654100418091,2.1379940509796143,2.7524518966674805
377,0.37737737737737737,0.3021415174007416,2.123746871948242,2.7347378730773926
378,0.3783783783783784,0.2991466522216797,2.1096105575561523,2.717160940170288
379,0.3793793793793794,0.29618051648139954,2.0955865383148193,2.6997222900390625
380,0.38038038038038036,0.29324281215667725,2.0816712379455566,2.6824183464050293
381,0.3813813813813814,0.29033327102661133,2.0678646564483643,2.665248394012451
382,0.38238238238238237,0.2874515652656555,2.0541651248931885,2.6482114791870117
383,0.3833833833833834,0.2845974266529083,2.04057240486145,2.631305456161499
384,0.3843843843843844,0.28177061676979065,2.0270838737487793,2.614529848098755
385,0.38538538538538536,0.27897077798843384,2.013700485229492,2.5978829860687256
386,0.3863863863863864,0.2761977016925812,2.000420331954956,2.5813634395599365
387,0.38738738738738737,0.2734510898590088,1.987242341041565,2.5649707317352295
388,0.3883883883883884,0.2707306742668152,1.9741648435592651,2.5487020015716553
389,0.3893893893893894,0.2680361568927765,1.961187720298767,2.532557964324951
390,0.39039039039039036,0.26536738872528076,1.9483094215393066,2.5165350437164307
391,0.3913913913913914,0.26272398233413696,1.9355307817459106,2.5006349086761475
392,0.3923923923923924,0.26010578870773315,1.9228466749191284,2.4848525524139404
393,0.3933933933933934,0.25751248002052307,1.9102596044540405,2.4691896438598633
394,0.3943943943943944,0.2549438178539276,1.8977675437927246,2.453644037246704
395,0.3953953953953954,0.2523995637893677,1.8853707313537598,2.438216209411621
396,0.3963963963963964,0.24987953901290894,1.8730663061141968,2.4229023456573486
397,0.3973973973973974,0.24738340079784393,1.8608546257019043,2.407703161239624
398,0.3983983983983984,0.24491097033023834,1.8487352132797241,2.392618179321289
399,0.3993993993993994,0.24246200919151306,1.8367055654525757,2.3776438236236572
400,0.4004004004004004,0.240036278963089,1.8247653245925903,2.3627800941467285
401,0.4014014014014014,0.23763355612754822,1.8129150867462158,2.348027229309082
402,0.4024024024024024,0.23525363206863403,1.8011523485183716,2.3333828449249268
403,0.4034034034034034,0.23289622366428375,1.7894762754440308,2.31884503364563
